"drug_name","gene_names","drug_name_lower","alias_asgard"
"Metformin","ETFDH;PRKAB1;GPD1;SLC22A1;SLC22A2;SLC22A3;SLC47A1;SLC29A4;SLC47A2","metformin","metformin"
"Ipratropium","CHRM3;CHRM1;CHRM2;ALB;ORM1;ORM2;SLC22A5;SLC22A4","ipratropium","ipratropium"
"Diltiazem","CACNA1C;CACNG1;CYP3A4;CYP3A5;CYP3A7;CYP2C19;CYP2D6;CYP2C8;ALB;ORM1;ABCB1","diltiazem","diltiazem"
"Methylergometrine","DRD1;HTR2B;CYP3A4","methylergometrine","methylergometrine"
"Aminoglutethimide","CYP11A1;CYP19A1;CYP3A4;CYP2C19","aminoglutethimide","aminoglutethimide"
"Vinorelbine","TUBB;CYP2D6;CYP3A4","vinorelbine","vinorelbine"
"Clozapine","DRD1;DRD2;DRD3;DRD4;DRD5;HTR1A;HTR1B;HTR1D;HTR1E;HTR2A;HTR3A;HTR2C;HTR6;HTR7;ADRA2C;HRH1;HRH4;ADRA1A;ADRA1B;ADRA2A;ADRA2B;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CALY;GSTP1;GABBR1;GABBR2;GABRA1;GABRB1;GABRG1;CYP1A2;CYP2D6;CYP2C9;CYP3A4;CYP2C19;CYP2A6;CYP2C8;FMO3;UGT1A4;CYP1A1;ORM1;ALB;ABCB1;SLC22A1;SLC22A2;SLC22A3","clozapine","clozapine"
"Doxylamine","HRH1;NR1I3;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CYP2B;ALB","doxylamine","doxylamine"
"Norepinephrine","ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;PAH;SLC18A2;SLC18A1;SLC6A2;SLC22A2;SLC22A3;SLC22A5;SLC22A1;POU5F1","norepinephrine","norepinephrine"
"Mexiletine","SCN5A;AHR;CYP2B6;CYP2E1;CYP3A4;CYP1A2;CYP2D6","mexiletine","mexiletine"
